Name,Record,Fighter URL,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,N_Name,id,weight_class
Jared Gordon,21-7-0 (1 NC),http://www.ufcstats.com/fighter-details/7026eca45f65377b,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",5.67,55%,3.91,56%,1.83,32%,62%,0.0,"Gordon, Jared",sr:competitor:333581,lightweight(146-155)
Matt Sayles,8-4-0,http://www.ufcstats.com/fighter-details/5b8ba8f5512893b1,"5' 7""",155 lbs.,"68""",Orthodox,"Feb 21, 1994",4.83,41%,2.81,61%,0.36,16%,81%,0.7,"Sayles, Matt",sr:competitor:449123,featherweight(136-145)
Waldo Cortes-Acosta,13-1-0,http://www.ufcstats.com/fighter-details/fc08099550072fe4,"6' 4""",260 lbs.,"78""",Orthodox,"Oct 03, 1991",5.76,49%,3.47,55%,0.49,50%,66%,0.2,"Cortes-Acosta, Waldo",sr:competitor:855381,heavyweight(206-265)
Landon Quinones,7-3-1,http://www.ufcstats.com/fighter-details/267f4a6568abe245,"5' 9""",155 lbs.,"70""",Southpaw,"Nov 21, 1995",6.77,40%,7.7,55%,0.5,33%,100%,0.0,"Quinones, Landon",sr:competitor:453937,lightweight(146-155)
Alexander Gustafsson,18-8-0,http://www.ufcstats.com/fighter-details/3c6976f8182d9527,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",4.03,40%,3.53,51%,1.53,39%,83%,0.4,"Gustafsson, Alexander",sr:competitor:278293,light_heavyweight(186-205)
Mitch Raposo,9-3-0,http://www.ufcstats.com/fighter-details/0be6776db31d98ec,"5' 5""",125 lbs.,"64""",Switch,"Oct 16, 1998",1.62,33%,3.2,55%,3.54,37%,50%,0.0,"Raposo, Mitch",sr:competitor:842172,flyweight(116-125)
Ray Rodriguez,16-8-0,http://www.ufcstats.com/fighter-details/90e0985df05e51bc,"5' 7""",135 lbs.,"70""",Orthodox,"Dec 10, 1987",0.9,27%,3.89,40%,1.42,50%,44%,0.0,"Rodriguez, Ray",sr:competitor:614472,bantamweight(126-135)
Asu Almabayev,21-3-0,http://www.ufcstats.com/fighter-details/8d3273573b85be09,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994",2.32,54%,1.76,53%,4.13,42%,66%,1.4,"Almabayev, Asu",sr:competitor:1005683,flyweight(116-125)
Kyler Phillips,12-3-0,http://www.ufcstats.com/fighter-details/60425d07ef4b91a7,"5' 8""",135 lbs.,"72""",Orthodox,"Jun 12, 1995",5.28,44%,3.47,60%,2.63,51%,75%,0.4,"Phillips, Kyler",sr:competitor:511502,bantamweight(126-135)
Nicco Montano,5-3-0,http://www.ufcstats.com/fighter-details/1de9ad94de18eeaf,"5' 5""",135 lbs.,"65""",Southpaw,"Dec 16, 1988",5.6,41%,4.43,64%,2.25,54%,69%,0.4,"Montano, Nicco",sr:competitor:466523,bantamweight(126-135)
Ernie Juarez,8-1-0,http://www.ufcstats.com/fighter-details/410898e8dd6ca9b6,"5' 8""",145 lbs.,"70""",,"Jan 12, 1998",4.21,51%,6.23,55%,0.0,0%,25%,0.0,"Juarez, Ernie",sr:competitor:1169229,featherweight(136-145)
Jean Silva,19-12-3 (1 NC),http://www.ufcstats.com/fighter-details/9211aae062b799d6,"5' 6""",160 lbs.,--,Orthodox,"Oct 08, 1977",0.73,22%,2.93,52%,0.0,0%,0%,0.0,"Silva, Jean",sr:competitor:1026715,featherweight(136-145)
Matthew Semelsberger,11-8-0,http://www.ufcstats.com/fighter-details/4aa58269d0664b5b,"6' 1""",170 lbs.,"75""",Switch,"Nov 23, 1992",3.77,42%,4.24,54%,1.01,57%,45%,0.4,"Semelsberger, Matthew",sr:competitor:737693,welterweight(156-170)
Ricardo Prasel,10-2-0,http://www.ufcstats.com/fighter-details/b51d0ed3782a1bf5,"6' 7""",238 lbs.,"78""",Orthodox,"Jun 02, 1990",2.21,57%,7.83,37%,0.0,0%,0%,0.0,"Prasel, Ricardo",sr:competitor:436966,heavyweight(206-265)
Chris Gutierrez,22-6-2,http://www.ufcstats.com/fighter-details/45f0cc9d18f35137,"5' 9""",135 lbs.,"67""",Orthodox,"Apr 22, 1991",4.59,58%,2.65,63%,0.24,25%,70%,0.1,"Gutierrez, Chris",sr:competitor:542065,bantamweight(126-135)
Christian Aguilera,14-8-0,http://www.ufcstats.com/fighter-details/ae071698e1a3ccd4,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37%,4.04,48%,0.0,0%,60%,0.0,"Aguilera, Christian",sr:competitor:720989,welterweight(156-170)
Aiemann Zahabi,13-2-0,http://www.ufcstats.com/fighter-details/24656ef4d605c96f,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",4.42,46%,4.13,69%,0.14,14%,83%,0.0,"Zahabi, Aiemann",sr:competitor:316729,bantamweight(126-135)
Nad Narimani,12-4-0,http://www.ufcstats.com/fighter-details/776a58a67665a171,"5' 8""",145 lbs.,"70""",Orthodox,"Apr 14, 1987",3.33,42%,3.0,58%,1.92,41%,70%,0.0,"Narimani, Nad",sr:competitor:422967,featherweight(136-145)
Brendon Marotte,8-3-0,http://www.ufcstats.com/fighter-details/d7fe8c6b7d2872e5,"5' 9""",145 lbs.,"70""",Orthodox,"Jan 12, 1996",0.41,50%,5.7,28%,0.0,0%,0%,0.0,"Marotte, Brendon",sr:competitor:1068564,lightweight(146-155)
Julian Erosa,31-13-0,http://www.ufcstats.com/fighter-details/902ec2cc48c8ae8a,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",6.21,48%,6.27,48%,1.78,43%,61%,0.7,"Erosa, Julian",sr:competitor:246021,featherweight(136-145)
Bassil Hafez,9-4-1,http://www.ufcstats.com/fighter-details/f4d92416da98804b,"5' 11""",170 lbs.,"72""",Orthodox,"Jan 31, 1992",3.71,38%,5.68,41%,2.21,24%,50%,0.0,"Hafez, Bassil",sr:competitor:1033275,welterweight(156-170)
Victor Henry,25-7-0 (1 NC),http://www.ufcstats.com/fighter-details/eb8d8c2a95cfccb8,"5' 7""",135 lbs.,"68""",Switch,"May 04, 1987",7.17,53%,5.19,48%,1.04,42%,81%,0.3,"Henry, Victor",sr:competitor:621768,bantamweight(126-135)
Ivan Erslan,14-5-0 (1 NC),http://www.ufcstats.com/fighter-details/64ad3e3b0efa30bb,"6' 2""",205 lbs.,"72""",Orthodox,"Nov 15, 1991",2.5,44%,5.17,55%,0.5,20%,64%,0.0,"Erslan, Ivan",sr:competitor:647490,light_heavyweight(186-205)
Alex Oliveira,22-12-1 (2 NC),http://www.ufcstats.com/fighter-details/57b10fca4f9c9a7a,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",2.99,51%,2.55,46%,2.35,38%,63%,0.6,"Oliveira, Alex",sr:competitor:244114,welterweight(156-170)
Devonte Smith,11-4-0,http://www.ufcstats.com/fighter-details/207773daeb4afa7b,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",4.55,53%,3.91,49%,0.35,25%,85%,0.3,"Smith, Devonte",sr:competitor:467837,lightweight(146-155)
Jamey Simmons,7-4-0,http://www.ufcstats.com/fighter-details/f0fad0e9f3b65752,"5' 6""",135 lbs.,"70""",Orthodox,"Sep 11, 1992",0.79,21%,1.92,74%,0.0,0%,50%,0.0,"Simmons, Jamey",sr:competitor:756663,bantamweight(126-135)
Khusein Askhabov,23-1-0,http://www.ufcstats.com/fighter-details/5c10da56d712ac9c,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 13, 1995",2.0,26%,4.13,56%,0.0,0%,66%,0.0,"Askhabov, Khusein",sr:competitor:820024,featherweight(136-145)
Sarah Moras,6-8-0,http://www.ufcstats.com/fighter-details/539ed332b3078821,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,0.67,21%,33%,0.8,"Moras, Sarah",sr:competitor:244064,bantamweight(126-135)
Jonathan Micallef,8-1-0,http://www.ufcstats.com/fighter-details/f782f953bfe7b5f2,"6' 0""",170 lbs.,"77""",Southpaw,"Mar 05, 1999",4.77,43%,4.0,58%,0.83,50%,50%,0.8,"Micallef, Jonathan",sr:competitor:1188817,welterweight(156-170)
Randa Markos,11-12-1,http://www.ufcstats.com/fighter-details/4a57ebb14315b251,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",2.97,43%,3.1,58%,1.12,28%,52%,0.2,"Markos, Randa",sr:competitor:237728,strawweight(106-115)
Karl Williams,10-2-0,http://www.ufcstats.com/fighter-details/d35f734c56a89103,"6' 3""",235 lbs.,"79""",Orthodox,"Jan 06, 1990",2.68,48%,2.15,55%,4.2,48%,100%,0.2,"Williams, Karl",sr:competitor:939657,heavyweight(206-265)
Viacheslav Borshchev,8-5-1,http://www.ufcstats.com/fighter-details/19c591115a58982c,"5' 11""",155 lbs.,"69""",Orthodox,"Jan 08, 1992",5.25,54%,4.77,57%,0.0,0%,43%,0.1,"Borshchev, Viacheslav",sr:competitor:878383,lightweight(146-155)
Mike Jackson,1-2-0 (1 NC),http://www.ufcstats.com/fighter-details/0641c21bec209472,"6' 2""",170 lbs.,"74""",Orthodox,"Mar 22, 1985",4.49,57%,3.73,62%,0.71,33%,88%,0.0,"Jackson, Mike",sr:competitor:447041,welterweight(156-170)
Jose Delgado,9-1-0,http://www.ufcstats.com/fighter-details/7d6ceff6747f2de2,"5' 11""",145 lbs.,"73""",Switch,"Apr 21, 1998",6.5,46%,3.52,56%,4.8,75%,66%,0.0,"Delgado, Jose",sr:competitor:1119019,featherweight(136-145)
Rinya Nakamura,9-1-0,http://www.ufcstats.com/fighter-details/d8c811df0386d5e8,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 23, 1995",3.1,51%,1.7,64%,2.63,81%,100%,1.5,"Nakamura, Rinya",sr:competitor:981223,bantamweight(126-135)
Miranda Granger,7-3-0,http://www.ufcstats.com/fighter-details/7559395ad833c074,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 13, 1992",2.79,47%,2.57,57%,0.0,0%,33%,0.0,"Granger, Miranda",sr:competitor:613516,flyweight(116-125)
Ibo Aslan,14-2-0,http://www.ufcstats.com/fighter-details/6e8f1bcdda94ff45,"6' 3""",205 lbs.,"77""",Orthodox,"Apr 23, 1996",7.84,50%,4.43,63%,0.0,0%,83%,0.0,"Aslan, Ibo",sr:competitor:990263,light_heavyweight(186-205)
Aaron Phillips,12-5-0,http://www.ufcstats.com/fighter-details/34c2b3656f88f7ef,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 05, 1989",1.51,53%,3.66,43%,0.86,50%,44%,0.6,"Phillips, Aaron",sr:competitor:727117,bantamweight(126-135)
Michael Page,23-3-0,http://www.ufcstats.com/fighter-details/a67d071163962af8,"6' 3""",170 lbs.,"79""",Switch,"Apr 07, 1987",2.53,62%,1.78,55%,0.3,20%,63%,0.0,"Page, Michael",sr:competitor:254237,middleweight(171-185)
Anthony Smith,38-22-0,http://www.ufcstats.com/fighter-details/d4c9dcd330403612,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",3.19,49%,5.04,44%,0.44,22%,50%,0.6,"Smith, Anthony",sr:competitor:244765,light_heavyweight(186-205)
Vicente Luque,23-10-1,http://www.ufcstats.com/fighter-details/6d4b63c767106d3a,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",5.05,51%,5.22,52%,0.99,53%,62%,0.7,"Luque, Vicente",sr:competitor:267863,welterweight(156-170)
Bevon Lewis,7-3-0,http://www.ufcstats.com/fighter-details/899923ff6ab13917,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991",3.73,43%,2.67,54%,0.0,0%,66%,0.0,"Lewis, Bevon",sr:competitor:459431,middleweight(171-185)
Nicolae Negumereanu,13-2-0,http://www.ufcstats.com/fighter-details/8c57c7b8c3bab0eb,"6' 0""",205 lbs.,"78""",Orthodox,"Sep 04, 1994",3.58,41%,5.56,39%,1.02,28%,62%,0.0,"Negumereanu, Nicolae",sr:competitor:552125,light_heavyweight(186-205)
Terrance McKinney,16-7-0,http://www.ufcstats.com/fighter-details/809bd1a871491508,"5' 10""",155 lbs.,"73""",Switch,"Sep 15, 1994",5.91,56%,2.59,47%,3.23,36%,77%,1.4,"McKinney, Terrance",sr:competitor:608558,lightweight(146-155)
Andre Fialho,16-8-0 (1 NC),http://www.ufcstats.com/fighter-details/33efaf2d0941cfcf,"6' 0""",170 lbs.,"74""",Orthodox,"Apr 07, 1994",3.3,41%,6.26,45%,0.25,100%,66%,0.0,"Fialho, Andre",sr:competitor:257527,welterweight(156-170)
Hakeem Dawodu,13-4-1,http://www.ufcstats.com/fighter-details/2c9d00968f818270,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.45,50%,3.37,56%,0.0,0%,65%,0.0,"Dawodu, Hakeem",sr:competitor:419865,featherweight(136-145)
Bryan Battle,13-2-0 (1 NC),http://www.ufcstats.com/fighter-details/f626118b6da0e020,"6' 1""",170 lbs.,"77""",Orthodox,"Sep 21, 1994",5.12,52%,4.11,44%,0.77,17%,53%,0.4,"Battle, Bryan",sr:competitor:827224,welterweight(156-170)
Humberto Bandenay,14-7-0 (1 NC),http://www.ufcstats.com/fighter-details/2c2caf2f2bab9df5,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",2.22,41%,4.79,41%,2.9,46%,62%,0.5,"Bandenay, Humberto",sr:competitor:364514,featherweight(136-145)
Steve Erceg,12-4-0,http://www.ufcstats.com/fighter-details/32ab52e5de93092d,"5' 8""",125 lbs.,"68""",Orthodox,"Jul 27, 1995",4.45,46%,4.03,52%,0.84,26%,63%,0.3,"Erceg, Steve",sr:competitor:909471,flyweight(116-125)
Felice Herrig,14-10-0,http://www.ufcstats.com/fighter-details/b6850671a008bf9a,"5' 4""",115 lbs.,"65""",Orthodox,"Sep 18, 1984",3.84,37%,5.19,48%,1.08,28%,75%,0.8,"Herrig, Felice",sr:competitor:273545,strawweight(106-115)
Kay Hansen,7-6-0,http://www.ufcstats.com/fighter-details/4100c7a09497ad41,"5' 2""",115 lbs.,"63""",Orthodox,"Aug 14, 1999",3.01,50%,3.19,51%,1.83,22%,37%,0.8,"Hansen, Kay",sr:competitor:399225,strawweight(106-115)
Jessica Penne,14-9-0,http://www.ufcstats.com/fighter-details/c742287ed86a09bc,"5' 5""",115 lbs.,"67""",Orthodox,"Jan 30, 1983",2.63,33%,5.05,45%,1.29,18%,36%,0.5,"Penne, Jessica",sr:competitor:261797,strawweight(106-115)
Ramiz Brahimaj,11-5-0,http://www.ufcstats.com/fighter-details/3d074044a33825e7,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 17, 1992",2.26,44%,4.04,43%,1.51,35%,44%,1.5,"Brahimaj, Ramiz",sr:competitor:724185,welterweight(156-170)
Nick Aguirre,7-2-0,http://www.ufcstats.com/fighter-details/0978385b2bd9ef9b,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",0.73,33%,2.89,45%,1.16,20%,33%,0.6,"Aguirre, Nick",sr:competitor:980065,featherweight(136-145)
Jack Shore,17-3-0,http://www.ufcstats.com/fighter-details/b8a85389d115e35a,"5' 8""",145 lbs.,"71""",Orthodox,"Feb 06, 1995",3.6,58%,2.31,56%,3.22,39%,74%,0.6,"Shore, Jack",sr:competitor:395072,bantamweight(126-135)
Mohammed Usman,11-4-0,http://www.ufcstats.com/fighter-details/da7f113b5ea39c43,"6' 2""",239 lbs.,"79""",Orthodox,"Apr 01, 1989",3.41,36%,4.41,50%,0.69,17%,60%,0.0,"Usman, Mohammed",sr:competitor:790610,heavyweight(206-265)
Kelvin Gastelum,20-9-0 (1 NC),http://www.ufcstats.com/fighter-details/8c0580d4fff106c1,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.74,42%,3.48,57%,1.1,34%,59%,0.1,"Gastelum, Kelvin",sr:competitor:268061,middleweight(171-185)
Tecia Pennington,15-7-0,http://www.ufcstats.com/fighter-details/31ef8b67e13495b3,"5' 1""",115 lbs.,"60""",Orthodox,"Aug 16, 1989",4.78,48%,3.48,61%,0.54,13%,62%,0.1,"Pennington, Tecia",sr:competitor:237732,strawweight(106-115)
Kyle Driscoll,12-3-0,http://www.ufcstats.com/fighter-details/e5e148d4363deff8,"5' 11""",145 lbs.,"74""",Orthodox,"Sep 23, 1994",2.73,32%,2.6,58%,2.0,18%,0%,0.0,"Driscoll, Kyle",sr:competitor:742881,featherweight(136-145)
Carlos Huachin,10-5-1,http://www.ufcstats.com/fighter-details/225def29ecfe0fc1,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996",2.1,21%,4.8,50%,0.0,0%,66%,0.0,"Huachin, Carlos",sr:competitor:576219,bantamweight(126-135)
Edson Barboza,24-12-0,http://www.ufcstats.com/fighter-details/64a50dad704d1d49,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",4.11,44%,4.65,56%,0.45,50%,72%,0.1,"Barboza, Edson",sr:competitor:237622,lightweight(146-155)
Vitor Petrino,11-2-0,http://www.ufcstats.com/fighter-details/71171fc96445bf65,"6' 2""",205 lbs.,"77""",Orthodox,"Aug 28, 1997",2.83,45%,2.71,47%,3.24,57%,71%,0.6,"Petrino, Vitor",sr:competitor:932423,light_heavyweight(186-205)
Brok Weaver,15-6-0,http://www.ufcstats.com/fighter-details/7c9f96f9a6a5cd50,"6' 0""",155 lbs.,"73""",Southpaw,"Dec 05, 1991",4.78,64%,4.35,46%,0.41,10%,66%,0.4,"Weaver, Brok",sr:competitor:596154,welterweight(156-170)
Phil Caracappa,6-1-0,http://www.ufcstats.com/fighter-details/bd81a97864acf098,"5' 8""",135 lbs.,"70""",Orthodox,"Jun 05, 1992",2.93,50%,4.07,29%,1.0,8%,100%,1.0,"Caracappa, Phil",sr:competitor:617066,bantamweight(126-135)
Michal Figlak,8-2-0,http://www.ufcstats.com/fighter-details/b4c57a8c2b773e82,"5' 10""",155 lbs.,"70""",Orthodox,"Aug 15, 1996",4.0,39%,4.93,52%,0.5,12%,57%,0.0,"Figlak, Michal",sr:competitor:935049,lightweight(146-155)
Gregory Rodrigues,16-6-0,http://www.ufcstats.com/fighter-details/d1c65d2cf2925ddd,"6' 3""",185 lbs.,"75""",Orthodox,"Feb 17, 1992",5.6,53%,4.95,51%,2.31,38%,88%,0.3,"Rodrigues, Gregory",sr:competitor:310658,middleweight(171-185)
Deiveson Figueiredo,24-5-1,http://www.ufcstats.com/fighter-details/aa72b0f831d0bfe5,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",2.82,54%,3.64,49%,1.69,35%,58%,1.4,"Figueiredo, Deiveson",sr:competitor:340506,flyweight(116-125)
Natalia Silva,19-5-1,http://www.ufcstats.com/fighter-details/262d32ebda89efc4,"5' 4""",125 lbs.,"65""",Southpaw,"Feb 03, 1997",5.04,46%,2.46,65%,0.34,25%,92%,0.0,"Silva, Natalia",sr:competitor:890667,flyweight(116-125)
Melissa Gatto,9-2-2,http://www.ufcstats.com/fighter-details/a4a80dd7336ffd59,"5' 5""",135 lbs.,"69""",Orthodox,"May 02, 1996",3.78,49%,2.84,54%,1.47,28%,63%,0.5,"Gatto, Melissa",sr:competitor:566749,flyweight(116-125)
Brendson Ribeiro,17-7-0 (1 NC),http://www.ufcstats.com/fighter-details/49edd0d90f60fb7d,"6' 3""",205 lbs.,"81""",Orthodox,"Sep 08, 1996",3.34,43%,3.72,55%,1.07,42%,0%,0.7,"Ribeiro, Brendson",sr:competitor:1015847,light_heavyweight(186-205)
Kyle Prepolec,18-9-0,http://www.ufcstats.com/fighter-details/873626e5547b5235,"5' 10""",155 lbs.,"70""",Southpaw,"Aug 30, 1989",2.87,35%,5.19,49%,0.0,0%,40%,0.0,"Prepolec, Kyle",sr:competitor:573915,welterweight(156-170)
Montserrat Rendon,6-1-0,http://www.ufcstats.com/fighter-details/60193e707634e560,"5' 8""",135 lbs.,"68""",Orthodox,"Mar 16, 1989",3.13,28%,3.9,54%,3.0,54%,100%,0.0,"Rendon, Montserrat",sr:competitor:1046279,bantamweight(126-135)
Caolan Loughran,10-2-0,http://www.ufcstats.com/fighter-details/42ac4020cba261ad,"5' 6""",135 lbs.,"68""",Orthodox,"May 18, 1996",4.73,42%,5.2,52%,3.0,34%,87%,0.0,"Loughran, Caolan",sr:competitor:1038089,bantamweight(126-135)
Corey Anderson,14-5-0,http://www.ufcstats.com/fighter-details/5e4eec08896c9423,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,"Anderson, Corey",sr:competitor:246017,light_heavyweight(186-205)
Quillan Salkilld,8-1-0,http://www.ufcstats.com/fighter-details/17734443a833cdf7,"6' 0""",155 lbs.,"75""",Orthodox,"Dec 28, 1999",5.68,56%,4.18,43%,8.81,40%,100%,1.0,"Salkilld, Quillan",sr:competitor:1041969,lightweight(146-155)
Chris Barnett,23-9-0,http://www.ufcstats.com/fighter-details/7a5e8c94a86f9895,"5' 9""",265 lbs.,"75""",Orthodox,"Jun 14, 1986",4.21,47%,6.53,39%,0.0,0%,33%,0.0,"Barnett, Chris",sr:competitor:794752,heavyweight(206-265)
Dan Moret,13-6-0,http://www.ufcstats.com/fighter-details/66e98b3bb5fc5250,"6' 0""",155 lbs.,"73""",Southpaw,"Nov 21, 1986",2.67,43%,3.56,43%,1.25,27%,45%,0.4,"Moret, Dan",sr:competitor:430957,lightweight(146-155)
Hannah Goldy,6-4-0,http://www.ufcstats.com/fighter-details/26e3f3928b1891d9,"5' 4""",115 lbs.,"61""",Orthodox,"May 18, 1992",5.19,47%,4.67,50%,0.66,12%,54%,0.2,"Goldy, Hannah",sr:competitor:595926,flyweight(116-125)
Giga Chikadze,15-5-0,http://www.ufcstats.com/fighter-details/9560ff14eb3129f7,"6' 0""",145 lbs.,"74""",Orthodox,"Aug 25, 1988",3.82,42%,3.48,60%,0.19,33%,65%,0.2,"Chikadze, Giga",sr:competitor:449131,featherweight(136-145)
Cameron Else,10-6-0,http://www.ufcstats.com/fighter-details/5f3da9a9610d8969,"5' 9""",135 lbs.,"71""",Switch,"Apr 27, 1987",1.99,40%,8.09,51%,0.0,0%,0%,0.0,"Else, Cameron",sr:competitor:748875,bantamweight(126-135)
Vince Morales,16-10-0,http://www.ufcstats.com/fighter-details/37098a6e6c27fb66,"5' 7""",135 lbs.,"70""",Orthodox,"Nov 12, 1990",3.57,37%,4.0,53%,0.59,40%,58%,0.5,"Morales, Vince",sr:competitor:462107,bantamweight(126-135)
Jimmy Flick,17-9-0,http://www.ufcstats.com/fighter-details/09e62c450e754913,"5' 7""",125 lbs.,"68""",Orthodox,"Sep 07, 1990",1.67,50%,4.7,43%,2.36,33%,0%,3.5,"Flick, Jimmy",sr:competitor:739953,flyweight(116-125)
Jessica Aguilar,20-8-0,http://www.ufcstats.com/fighter-details/8f382b3baa954d2a,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2,"Aguilar, Jessica",sr:competitor:333645,strawweight(106-115)
Chris Duncan,13-2-0,http://www.ufcstats.com/fighter-details/fd406a32a6fb3a29,"5' 10""",155 lbs.,"71""",Orthodox,"May 10, 1993",4.2,45%,3.63,47%,4.1,43%,37%,0.6,"Duncan, Chris",sr:competitor:536769,lightweight(146-155)
Bethe Correia,11-6-1,http://www.ufcstats.com/fighter-details/673ea7dcc786b1b3,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983",4.37,43%,4.93,56%,0.39,18%,85%,0.0,"Correia, Bethe",sr:competitor:251843,bantamweight(126-135)
Warlley Alves,15-8-0,http://www.ufcstats.com/fighter-details/d317a5e2b3f88c5f,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8,"Alves, Warlley",sr:competitor:257359,welterweight(156-170)
Yana Santos,16-8-0 (1 NC),http://www.ufcstats.com/fighter-details/3143bf892608139a,"5' 6""",135 lbs.,"68""",Orthodox,"Nov 11, 1989",4.42,58%,3.07,52%,0.87,50%,53%,0.1,"Santos, Yana",sr:competitor:542083,bantamweight(126-135)
Shavkat Rakhmonov,19-0-0,http://www.ufcstats.com/fighter-details/01afe0916a40c7c5,"6' 1""",170 lbs.,"77""",Orthodox,"Oct 23, 1994",3.25,60%,2.17,51%,1.4,25%,85%,1.2,"Rakhmonov, Shavkat",sr:competitor:561032,welterweight(156-170)
Matt Wiman,16-10-0,http://www.ufcstats.com/fighter-details/eb29176b03dfa888,"5' 10""",155 lbs.,"68""",Orthodox,"Sep 19, 1983",3.17,50%,3.57,51%,2.13,37%,56%,1.5,"Wiman, Matt",sr:competitor:511500,lightweight(146-155)
Fabio Cherant,7-4-0,http://www.ufcstats.com/fighter-details/78a68f1dade6aaf7,"6' 1""",205 lbs.,"74""",Southpaw,"Nov 25, 1994",1.35,40%,4.89,38%,0.0,0%,0%,0.0,"Cherant, Fabio",sr:competitor:608624,light_heavyweight(186-205)
Joseph Holmes,8-4-0,http://www.ufcstats.com/fighter-details/8d20d76af3f213ce,"6' 4""",185 lbs.,"80""",Orthodox,"Jul 04, 1995",2.88,53%,3.08,54%,1.49,40%,50%,0.8,"Holmes, Joseph",sr:competitor:558000,middleweight(171-185)
Mikheil Sazhiniani,13-3-0,http://www.ufcstats.com/fighter-details/22a1f83edb865aee,"6' 0""",205 lbs.,"71""",Orthodox,"Oct 05, 1996",2.27,28%,3.03,52%,0.0,0%,100%,0.0,"Sazhiniani, Mikheil",sr:competitor:1169263,light_heavyweight(186-205)
Benito Lopez,10-2-0,http://www.ufcstats.com/fighter-details/773f7feacf96153e,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994",4.39,45%,5.18,56%,0.0,0%,73%,0.3,"Lopez, Benito",sr:competitor:399177,bantamweight(126-135)
Darrick Minner,26-14-0,http://www.ufcstats.com/fighter-details/34e516ab361afb1c,"5' 7""",145 lbs.,"69""",Orthodox,"Apr 28, 1990",2.63,65%,2.28,35%,2.4,72%,66%,2.7,"Minner, Darrick",sr:competitor:613524,featherweight(136-145)
Christian Lohsen,4-2-0,http://www.ufcstats.com/fighter-details/4ab36d70d1b28b58,"6' 2""",155 lbs.,"77""",Southpaw,"Jan 24, 1995",5.27,49%,6.93,44%,0.0,0%,0%,2.0,"Lohsen, Christian",sr:competitor:608562,lightweight(146-155)
Sean O'Malley,18-2-0 (1 NC),http://www.ufcstats.com/fighter-details/b50a426a33da0012,"5' 11""",135 lbs.,"72""",Switch,"Oct 24, 1994",6.7,61%,3.48,60%,0.29,42%,61%,0.3,"O'Malley, Sean",sr:competitor:397240,bantamweight(126-135)
Oskar Piechota,11-3-1 (1 NC),http://www.ufcstats.com/fighter-details/1cf7ccf64a5bf24e,"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",3.3,52%,3.93,51%,0.61,40%,38%,1.5,"Piechota, Oskar",sr:competitor:542127,middleweight(171-185)
Thiago Alves,23-15-0,http://www.ufcstats.com/fighter-details/31ee470ef5dc8d7f,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983",3.73,41%,3.42,62%,0.71,60%,63%,0.3,"Alves, Thiago",sr:competitor:326977,welterweight(156-170)
Dylan Budka,7-5-0,http://www.ufcstats.com/fighter-details/a817e238b2747404,"6' 0""",185 lbs.,"75""",Switch,"Jan 14, 2000",1.06,38%,1.8,42%,1.93,38%,76%,0.4,"Budka, Dylan",sr:competitor:1052191,middleweight(171-185)
